ORBIT_CNT,t,DETECTOR,LAYER,COLUMN,EVENT,DRIFT_TIME
1919929528,31892.5,3,1,2,1,17.5
1919929528,32045.0,4,3,1,1,170.0
1919929528,32044.166666666668,4,3,3,1,169.16666666666788
1919929528,31938.333333333332,4,2,5,1,63.33333333333212
1919929528,32027.5,3,4,4,1,152.5
1919929528,32135.0,4,4,5,1,260.0
1919929528,31990.833333333332,3,3,2,1,115.83333333333212
1919929528,32052.5,3,1,5,1,177.5
1919929528,32110.833333333332,3,2,5,1,235.83333333333212
1919929528,32093.333333333332,3,2,1,1,218.33333333333212
1919929528,32179.166666666668,3,4,3,1,304.1666666666679
1919929528,31990.833333333332,3,4,1,1,115.83333333333212
1919929528,32101.666666666668,3,3,2,1,226.66666666666788
1919929544,1730.0,3,2,3,1,130.0
1919929544,1670.0,3,3,4,1,70.0
1919929544,1816.6666666666667,3,4,3,1,216.66666666666674
1919929631,18724.166666666668,1,1,4,1,49.16666666666788
1919929631,18860.833333333332,2,2,2,1,185.83333333333212
1919929631,18755.0,1,2,4,1,80.0
1919929631,18845.833333333332,2,1,4,1,170.83333333333212
1919929631,18887.5,1,1,5,1,212.5
1919929631,18775.0,2,3,4,1,100.0
1919929631,18890.833333333332,1,3,5,1,215.83333333333212
1919929631,18804.166666666668,2,1,3,1,129.16666666666788
1919929631,18825.0,2,3,3,1,150.0
1919929850,79012.5,2,3,4,2,12.5
1919929850,79002.5,2,1,4,2,2.5
1919929850,79014.16666666667,2,4,4,2,14.166666666671517
1919929850,79214.16666666667,2,3,4,2,214.16666666667152
1919929850,79212.5,2,4,4,2,212.5
1919929850,79291.66666666667,2,2,4,2,291.6666666666715
1919929943,34390.0,1,3,10,1,40.0
1919929943,34432.5,3,2,4,1,82.5
1919929943,34410.0,3,2,7,1,60.0
1919929943,34442.5,1,1,9,1,92.5
1919929943,34560.0,1,4,10,1,210.0
1919929943,34473.333333333336,3,4,4,1,123.33333333333576
1919929943,34375.0,4,4,2,1,25.0
1919929943,34365.0,4,4,3,1,15.0
1919929943,34625.833333333336,3,2,3,1,275.83333333333576
1919929943,34356.666666666664,4,4,5,1,6.666666666664241
1919929943,34511.666666666664,3,1,4,1,161.66666666666424
1919929943,34410.0,4,1,2,1,60.0
1919929943,34651.666666666664,3,4,3,1,301.66666666666424
1919929943,34555.833333333336,4,2,1,1,205.83333333333576
1919929943,34580.0,4,3,6,1,230.0
1919929943,34636.666666666664,4,1,2,1,286.66666666666424
1919929943,34410.0,4,1,3,1,60.0
1919929943,34428.333333333336,4,2,5,1,78.33333333333576
1919929943,34639.166666666664,4,4,1,1,289.16666666666424
1919929943,34620.833333333336,4,2,3,1,270.83333333333576
1919929943,34582.5,4,2,5,1,232.5
